#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	price
0			1200
1			2000
2			3000
3			4500
4			6000
5			8000
6			12000
7			15000
8			18000
9			22000
10			26000
11			30000
12			35000
13			40000
14			45000
15			50000
16			56000
17			62000
18			68000
19			75000
20			82000
21			90000
22			100000
23			110000
24			120000
25			130000
26			140000
27			150000
28			170000
29			190000
30			210000
31			230000
32			250000
33			280000
34			310000
35			1000
36			1500
37			2000
38			2800
39			3800
40			5000
41			6500
42			8000
43			10000
44			12500
45			15500
46			19000
47			23000
48			28000
49			34000
50			41000
51			49000
52			58000
53			68000
54			79000
55			92000
56			106000
57			122000
58			140000
59			160000
60			180000
61			200000
62			220000
63			240000
64			260000
65			280000
66			300000
67			320000
68			340000
69			360000
70			1100
71			1700
72			2500
73			3600
74			4800
75			6500
76			8500
77			11000
78			14000
79			17500
80			21500
81			26000
82			31000
83			37000
84			43000
85			50000
86			58000
87			67000
88			77000
89			88000
90			100000
91			114000
92			129000
93			145000
94			165000
95			185000
96			205000
97			225000
98			245000
99			265000
100			285000
101			305000
102			325000
103			345000
104			365000
105			1300
106			10000
107			18000
108			27000
109			36000
110			45000
111			54000
112			63000
113			700
114			1400
115			2200
116			3000
117			4000
118			5000
119			6200
120			7600
121			1000
122			2100
123			3200
124			4500
125			6000
126			7500
127			9300
128			11400
129			2200
130			16700
131			30000
132			45000
133			70000
134			100000
135			130000
136			160000
137			1100
138			2300
139			3600
140			5000
141			6600
142			8400
143			10400
144			12600
145			1600
146			3400
147			5400
148			7500
149			9900
150			12600
151			15600
152			18900
153			400
154			3300
155			6000
156			9000
157			13000
158			18000
159			25000
160			35000
161			200
162			500
163			700
164			1000
165			1300
166			1700
167			2100
168			2500
169			300
170			700
171			1000
172			1500
173			2000
174			2500
175			3100
176			3800
177			1800
178			13400
179			24000
180			36000
181			50000
182			65000
183			80000
184			100000
185			900
186			1800
187			2900
188			4000
189			5300
190			6700
191			8300
192			10100
193			1300
194			2700
195			4200
196			6000
197			8000
198			10000
199			12500
200			15200
201			900
202			6700
203			12000
204			18000
205			26000
206			35000
207			45000
208			58000
209			400
210			900
211			1400
212			2000
213			2600
214			3300
215			4100
216			5000
217			600
218			1300
219			2100
220			3000
221			3900
222			4500
223			6200
224			7600
225			2100
226			2500
227			2400
228			2900
229			2800
230			3000
231			2500
232			2900
233			2500
234			2300
235			2200
236			3000
237			2500
238			1800
239			2600
240			2800
241			1900
242			2600
243			2700
244			3900
245			3800
246			3700
247			3500
248			3300
249			3100
250			3300
251			3600
252			3400
253			10000
254			9000
255			12000
256			10000
257			11000
258			13000
259			12400
260			13600
261			14000
262			10000
263			12200
264			12000
265			11200
266			14600
267			14900
268			15200
269			15900
270			16600
271			5000
272			5000
273			5000
274			5000
275			5000
276			5000
277			1000
278			500
279			2000
280			10000
281			800
282			3200
283			12000
284			32000
285			1500
286			1500
287			1500
288			1500
289			1500
290			3000
291			3000
292			3000
293			3000
294			3000
295			10000
296			10000
297			10000
298			10000
299			10000
300			0
301			0
302			0
303			0
304			500
305			800
306			1300
307			2000
308			3300
309			4500
310			6000
311			7500
312			400
313			600
314			1000
315			1700
316			2500
317			3700
318			4800
319			6000
320			300
321			500
322			800
323			1300
324			2000
325			2800
326			3600
327			4500
328			300
329			500
330			800
331			1300
332			2200
333			3200
334			4200
335			5200
336			1000
337			1200
338			1200
339			1500
340			2800
341			3300
342			3000
343			4000
344			5500
345			6000
346			5000
347			6000
348			7000
349			6000
350			8000
351			5000
352			8500
353			9500
354			11500
355			10000
356			10000
357			13000
358			13000
359			14500
360			16000
361			17500
362			20000
363			21000
364			16000
365			17500
366			17000
367			17500
368			22500
369			35000
370			40000
371			42500
372			47500
373			48500
374			51000
375			57500
376			60000
377			70000
378			75000
379			72500
380			80000
381			0
