#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	star
0			100
1			100
2			100
3			100
4			100
5			200
6			200
7			200
8			200
9			200
10			300
11			300
12			300
13			300
14			300
15			400
16			400
17			400
18			400
19			400
20			500
21			500
22			500
23			500
24			600
25			600
26			600
27			600
28			600
29			600
30			600
31			600
32			600
33			600
34			600
35			100
36			100
37			200
38			200
39			300
40			400
41			500
42			600
43			100
44			100
45			200
46			200
47			300
48			400
49			500
50			600
51			100
52			200
53			300
54			300
55			400
56			500
57			600
58			600
59			100
60			100
61			200
62			200
63			300
64			400
65			500
66			600
67			100
68			100
69			200
70			200
71			300
72			400
73			500
74			600
75			100
76			200
77			300
78			300
79			400
80			500
81			600
82			600
83			100
84			100
85			200
86			200
87			300
88			400
89			500
90			600
91			100
92			100
93			200
94			200
95			300
96			400
97			500
98			600
99			100
100			200
101			300
102			300
103			400
104			500
105			600
106			600
107			100
108			100
109			200
110			200
111			300
112			400
113			500
114			600
115			100
116			100
117			200
118			200
119			300
120			400
121			500
122			600
123			100
124			200
125			300
126			300
127			400
128			500
129			600
130			600
131			100
132			100
133			200
134			200
135			300
136			400
137			500
138			600
139			100
140			100
141			200
142			200
143			300
144			400
145			500
146			600
147			100
148			200
149			300
150			300
151			400
152			500
153			600
154			600
155			100
156			100
157			200
158			200
159			300
160			400
161			500
162			600
163			100
164			100
165			200
166			200
167			300
168			400
169			500
170			600
171			100
172			100
173			100
174			100
175			200
176			200
177			200
178			200
179			300
180			300
181			300
182			300
183			400
184			400
185			400
186			400
187			500
188			500
189			500
190			500
191			600
192			600
193			600
194			600
195			600
196			600
197			600
198			600
199			100
200			100
201			100
202			200
203			200
204			200
205			300
206			300
207			300
208			400
209			400
210			400
211			500
212			500
213			500
214			600
215			600
216			600
217			100
218			200
219			300
220			400
221			500
222			600
223			100
224			100
225			200
226			300
227			100
228			200
229			300
230			100
231			100
232			100
233			100
234			100
235			100
236			100
237			100
238			100
239			100
240			100
241			200
242			200
243			200
244			200
245			200
246			300
247			300
248			300
249			300
250			100
251			100
252			200
253			200
254			300
255			400
256			500
257			600
258			100
259			100
260			200
261			200
262			300
263			400
264			500
265			600
266			100
267			100
268			200
269			200
270			300
271			400
272			500
273			600
274			100
275			100
276			200
277			200
278			300
279			400
280			500
281			600
282			100
283			100
284			100
285			100
286			100
287			100
288			100
289			100
290			100
291			100
292			100
293			100
294			100
295			100
296			100
297			100
298			100
299			100
300			100
301			100
302			100
303			100
304			100
305			100
306			100
307			100
308			100
309			100
310			100
311			100
312			100
313			100
314			100
315			100
316			100
317			100
318			100
319			100
320			100
321			100
322			100
323			100
324			100
325			100
326			100
327			100
328			100
329			100
330			100
331			100
332			100
333			100
334			100
335			100
336			100
337			100
338			100
339			100
340			100
341			100
342			100
343			100
344			100
345			100
346			100
347			100
348			100
349			100
350			100
351			100
352			100
353			100
354			100
355			100
356			100
357			100
358			100
359			100
360			100
361			100
362			500
363			500
364			500
365			500
366			500
367			500
368			500
369			500
370			500
371			500
372			500
373			500
374			500
375			500
376			500
377			500
378			500
379			500
380			500
381			500
382			500
383			500
384			500
385			500
386			500
387			500
388			500
389			500
390			500
391			500
392			100
393			100
394			100
395			100
396			200
397			200
398			200
399			300
400			300
401			300
402			400
403			400
404			400
405			500
406			500
407			500
408			600
409			600
410			100
411			100
412			100
413			200
414			200
415			200
416			300
417			300
418			300
419			400
420			400
421			400
422			500
423			500
424			500
425			600
426			500
427			500
428			500
429			300
430			200
431			100
432			100
433			100
434			100
435			100
436			200
437			200
438			200
439			200
440			300
441			300
442			300
443			300
444			400
445			400
446			400
447			400
448			500
449			500
450			500
451			100
452			200
453			300
454			400
455			500
456			600
457			700
458			800
459			300
460			400
461			500
462			600
463			700
464			800
465			100
466			100
467			100
468			100
469			100
470			100
471			100
472			100
473			100
474			100
475			200
476			200
477			200
478			200
479			200
480			200
481			200
482			200
483			200
484			200
485			300
486			300
487			300
488			300
489			300
490			300
491			300
492			300
493			300
494			300
495			400
496			400
497			400
498			400
499			400
500			400
501			400
502			400
503			400
504			400
505			500
506			500
507			500
508			500
509			500
510			500
511			500
512			500
513			500
514			500
515			600
516			600
517			600
518			600
519			600
520			600
521			600
522			600
523			600
524			600
525			600
526			600
527			600
528			600
529			600
530			600
531			600
532			600
533			600
534			600
535			600
536			600
537			600
538			600
539			600
540			600
541			600
542			600
543			600
544			600
545			600
546			600
547			600
548			600
549			600
550			600
551			600
552			600
553			600
554			600
555			600
556			600
557			600
558			600
559			600
560			600
561			600
562			600
563			600
564			600
