#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	price
0			1000
1			2000
2			4000
3			8000
4			16000
5			32000
6			64000
7			128000
8			1000
9			2000
10			4000
11			8000
12			16000
13			32000
14			64000
15			128000
16			1000
17			2000
18			4000
19			8000
20			16000
21			32000
22			64000
23			128000
24			1000
25			2000
26			4000
27			8000
28			16000
29			32000
30			64000
31			128000
32			10
33			20
34			40
35			80
36			160
37			320
38			640
39			1280
40			10
41			20
42			40
43			80
44			160
45			320
46			640
47			1280
48			10
49			20
50			40
51			80
52			160
53			320
54			640
55			1280
56			10
57			20
58			40
59			80
60			160
61			320
62			640
63			1280
64			10
65			20
66			40
67			80
68			160
69			320
70			640
71			1280
72			10
73			20
74			40
75			80
76			160
77			320
78			640
79			1280
80			10
81			20
82			40
83			80
84			160
85			320
86			640
87			1280
88			10
89			20
90			40
91			80
92			160
93			320
94			640
95			1280
96			10
97			20
98			40
99			80
100			160
101			320
102			640
103			1280
104			10
105			20
106			40
107			80
108			160
109			320
110			640
111			1280
112			10
113			20
114			40
115			80
116			160
117			320
118			640
119			1280
120			10
121			20
122			40
123			80
124			160
125			320
126			640
127			1280
128			10
129			20
130			40
131			80
132			160
133			320
134			640
135			1280
136			10
137			20
138			40
139			80
140			160
141			320
142			640
143			1280
144			5000
145			5000
146			5000
147			5000
148			5000
149			5000
150			5000
151			5000
152			5000
153			5000
154			5000
155			5000
156			5000
157			5000
158			5000
159			5000
160			5000
161			5000
162			5000
163			5000
164			5000
165			5000
166			5000
167			5000
168			5000
169			5000
170			5000
171			5000
172			5000
173			5000
174			5000
175			5000
176			5000
177			5000
178			5000
179			5000
180			5000
181			5000
182			5000
183			5000
184			5000
185			5000
186			5000
187			5000
188			5000
189			5000
190			3000
191			3000
192			3000
193			3000
194			3000
195			3000
196			1000
197			500
198			2000
199			10000
200			800
201			3200
202			12000
203			32000
204			1500
205			1500
206			1500
207			1500
208			1500
209			3000
210			3000
211			3000
212			3000
213			3000
214			10000
215			10000
216			10000
217			10000
218			10000
219			0
220			0
221			0
222			0
223			500
224			800
225			1300
226			2000
227			3300
228			4500
229			6000
230			7500
231			400
232			600
233			1000
234			1700
235			2500
236			3700
237			4800
238			6000
239			300
240			500
241			800
242			1300
243			2000
244			2800
245			3600
246			4500
247			300
248			500
249			800
250			1300
251			2200
252			3200
253			4200
254			5200
255			1000
256			1200
257			1200
258			1500
259			2800
260			3300
261			3000
262			4000
263			5500
264			6000
265			5000
266			6000
267			7000
268			6000
269			8000
270			5000
271			8500
272			9500
273			11500
274			10000
275			10000
276			13000
277			13000
278			14500
279			16000
280			17500
281			20000
282			21000
283			16000
284			17500
285			17000
286			17500
287			22500
288			35000
289			40000
290			42500
291			47500
292			48500
293			51000
294			57500
295			60000
296			70000
297			75000
298			72500
299			80000
300			0
