#이 표는 계약이다. 번호를 바꾸거나 재사용하지 말 것.
#세이브 파일과 서버 DB에 이 번호가 그대로 들어 있다.
#새 콘텐츠는 항상 맨 끝에 붙인다. 폐기는 행을 지우지 말고 alive=0으로.
id	name	alias	alive
0	SKILL_COMMON_ROBIN1		1
1	SKILL_COMMON_ROBIN2		1
2	SKILL_COMMON_ROBIN3		1
3	SKILL_COMMON_ROBIN4		1
4	SKILL_COMMON_ROBIN5		1
5	SKILL_COMMON_ROBIN6		1
6	SKILL_COMMON_ROBIN7		1
7	SKILL_COMMON_ROBIN8		1
8	SKILL_COMMON_ROBIN9		1
9	SKILL_COMMON_ROBIN10		1
10	SKILL_COMMON_ROBIN11		1
11	SKILL_COMMON_ROBIN12		1
12	SKILL_COMMON_ROBIN13		1
13	SKILL_ROBIN1		1
14	SKILL_ROBIN2		1
15	SKILL_ROBIN3		1
16	SKILL_ROBIN4		1
17	SKILL_ROBIN5		1
18	SKILL_ROBIN6		1
19	SKILL_ROBIN7		1
20	SKILL_ROBIN8		1
21	SKILL_ROBIN9		1
22	SKILL_ROBIN10		1
23	SKILL_ROBIN11		1
24	SKILL_ROBIN12		1
25	SKILL_ROBIN13		1
26	SKILL_ROBIN14		1
27	SKILL_ROBIN15		1
28	SKILL_ROBIN16		1
29	SKILL_ROBIN17		1
30	SKILL_COMMON_DIANA1		1
31	SKILL_COMMON_DIANA2		1
32	SKILL_COMMON_DIANA3		1
33	SKILL_COMMON_DIANA4		1
34	SKILL_COMMON_DIANA5		1
35	SKILL_COMMON_DIANA6		1
36	SKILL_COMMON_DIANA7		1
37	SKILL_COMMON_DIANA8		1
38	SKILL_COMMON_DIANA9		1
39	SKILL_COMMON_DIANA10		1
40	SKILL_COMMON_DIANA11		1
41	SKILL_COMMON_DIANA12		1
42	SKILL_COMMON_DIANA13		1
43	SKILL_DIANA1		1
44	SKILL_DIANA2		1
45	SKILL_DIANA3		1
46	SKILL_DIANA4		1
47	SKILL_DIANA5		1
48	SKILL_DIANA6		1
49	SKILL_DIANA7		1
50	SKILL_DIANA8		1
51	SKILL_DIANA9		1
52	SKILL_DIANA10		1
53	SKILL_DIANA11		1
54	SKILL_DIANA12		1
55	SKILL_DIANA13		1
56	SKILL_DIANA14		1
57	SKILL_DIANA15		1
58	SKILL_DIANA16		1
59	SKILL_DIANA17		1
60	SKILL_COMMON_MAXX1		1
61	SKILL_COMMON_MAXX2		1
62	SKILL_COMMON_MAXX3		1
63	SKILL_COMMON_MAXX4		1
64	SKILL_COMMON_MAXX5		1
65	SKILL_COMMON_MAXX6		1
66	SKILL_COMMON_MAXX7		1
67	SKILL_COMMON_MAXX8		1
68	SKILL_COMMON_MAXX9		1
69	SKILL_COMMON_MAXX10		1
70	SKILL_COMMON_MAXX11		1
71	SKILL_COMMON_MAXX12		1
72	SKILL_COMMON_MAXX13		1
73	SKILL_MAXX1		1
74	SKILL_MAXX2		1
