#rates	1
#stamp	2026년 08월 26일
#pity	30	29	4
#cols	box	depth	label	value
0	0	보상 상자 1	
0	1	구성	
0	2	하트	항상 1장 (100~200개)
0	2	골드	20% 확률로 1장 (10,000~20,000골드)
0	2	카드 장수	2~3장 (럭키 시 1장 추가)
0	2	럭키 상자	5%
0	1	종류	
0	2	동료	70.00%
0	2	장비	30.00%
0	1	동료 등급	
0	2	1성	72.00% (동료 카드 1장 기준, 9종 균등)
0	2	2성	23.00% (동료 카드 1장 기준, 10종 균등)
0	2	3성	5.00% (동료 카드 1장 기준, 10종 균등)
0	2	4성	0% (동료 카드 1장 기준, 10종 균등)
0	2	5성	0% (동료 카드 1장 기준, 10종 균등)
0	2	6성	0% (동료 카드 1장 기준, 15종 균등)
0	1	장비 등급	
0	2	1성	78.00% (장비 카드 1장 기준)
0	2	2성	19.00% (장비 카드 1장 기준)
0	2	3성	3.00% (장비 카드 1장 기준)
0	2	4성	0% (장비 카드 1장 기준)
0	2	5성	0% (장비 카드 1장 기준)
0	2	6성	0% (장비 카드 1장 기준)
0	1	장비 부위	
0	2	무기	16.67% (35종)
0	2	투구	16.67% (8종)
0	2	갑옷	16.67% (8종)
0	2	장갑	16.67% (8종)
0	2	허리	16.67% (8종)
0	2	신발	16.67% (8종)
0	1	개별 아이템	
0	2	1성 동료	5.60% (9종)
0	2	2성 동료	1.61% (10종)
0	2	3성 동료	0.35% (10종)
0	2	4성 동료	0% (10종)
0	2	5성 동료	0% (10종)
0	2	6성 동료	0% (15종)
0	2	1성 무기	0.78% (5종)
0	2	2성 무기	0.19% (5종)
0	2	3성 무기	0.03% (5종)
0	2	4성 무기	0% (5종)
0	2	5성 무기	0% (5종)
0	2	6성 무기	0% (10종)
0	2	1성 투구	3.90% (1종)
0	2	2성 투구	0.95% (1종)
0	2	3성 투구	0.07% (2종)
0	2	4성 투구	0% (1종)
0	2	5성 투구	0% (1종)
0	2	6성 투구	0% (2종)
0	2	1성 갑옷	3.90% (1종)
0	2	2성 갑옷	0.95% (1종)
0	2	3성 갑옷	0.07% (2종)
0	2	4성 갑옷	0% (1종)
0	2	5성 갑옷	0% (1종)
0	2	6성 갑옷	0% (2종)
0	2	1성 장갑	3.90% (1종)
0	2	2성 장갑	0.95% (1종)
0	2	3성 장갑	0.07% (2종)
0	2	4성 장갑	0% (1종)
0	2	5성 장갑	0% (1종)
0	2	6성 장갑	0% (2종)
0	2	1성 허리	3.90% (1종)
0	2	2성 허리	0.95% (1종)
0	2	3성 허리	0.07% (2종)
0	2	4성 허리	0% (1종)
0	2	5성 허리	0% (1종)
0	2	6성 허리	0% (2종)
0	2	1성 신발	3.90% (1종)
0	2	2성 신발	0.95% (1종)
0	2	3성 신발	0.07% (2종)
0	2	4성 신발	0% (1종)
0	2	5성 신발	0% (1종)
0	2	6성 신발	0% (2종)
1	0	보상 상자 2	
1	1	구성	
1	2	하트	항상 1장 (120~300개)
1	2	골드	35% 확률로 1장 (20,000~50,000골드)
1	2	카드 장수	3~4장 (럭키 시 1장 추가)
1	2	럭키 상자	5%
1	1	종류	
1	2	동료	65.00%
1	2	장비	35.00%
1	1	동료 등급	
1	2	1성	58.00% (동료 카드 1장 기준, 9종 균등)
1	2	2성	30.00% (동료 카드 1장 기준, 10종 균등)
1	2	3성	10.00% (동료 카드 1장 기준, 10종 균등)
1	2	4성	2.00% (동료 카드 1장 기준, 10종 균등)
1	2	5성	0% (동료 카드 1장 기준, 10종 균등)
1	2	6성	0% (동료 카드 1장 기준, 15종 균등)
1	1	장비 등급	
1	2	1성	64.00% (장비 카드 1장 기준)
1	2	2성	27.00% (장비 카드 1장 기준)
1	2	3성	8.00% (장비 카드 1장 기준)
1	2	4성	1.00% (장비 카드 1장 기준)
1	2	5성	0% (장비 카드 1장 기준)
1	2	6성	0% (장비 카드 1장 기준)
1	1	장비 부위	
1	2	무기	16.67% (35종)
1	2	투구	16.67% (8종)
1	2	갑옷	16.67% (8종)
1	2	장갑	16.67% (8종)
1	2	허리	16.67% (8종)
1	2	신발	16.67% (8종)
1	1	개별 아이템	
